Rama del Derecho,Pregunta,Respuesta
Derecho Penal,¿Qué estudia el Derecho Penal?,Las conductas delictivas y las sanciones correspondientes.
Derecho Penal,¿Qué es el principio de legalidad penal?,No hay delito ni pena sin ley previa.
Derecho Penal,¿Qué es el dolo?,La intención deliberada de cometer un delito.
Derecho Penal,¿Qué es la culpa?,"La comisión de un delito sin intención, por negligencia o imprudencia."
Derecho Penal,¿Qué es una pena privativa de libertad?,Es la sanción que implica la pérdida de la libertad ambulatoria.
Derecho Penal,¿Qué es la tentativa de delito?,Cuando se inicia la ejecución de un delito sin lograr su consumación.
Derecho Penal,¿Qué es el concurso de delitos?,Cuando una persona comete varios delitos y se determina cómo se aplicarán las penas.
Derecho Penal,¿Qué es un delito doloso?,Aquel que se comete con intención.
Derecho Penal,¿Qué es un delito culposo?,Aquel que se comete por negligencia o imprudencia.
Derecho Penal,¿Qué es la reincidencia?,Cometer un nuevo delito habiendo sido condenado previamente.
Derecho Penal,¿Qué es la excusa absolutoria?,Situación que impide aplicar pena por razones legales.
Derecho Penal,¿Qué es un atenuante?,Circunstancia que disminuye la gravedad del delito.
Derecho Penal,¿Qué es un agravante?,Circunstancia que aumenta la responsabilidad penal.
Derecho Penal,¿Qué función tiene la pena?,Proteger el orden jurídico y prevenir delitos.
Derecho Penal,¿Qué es la legítima defensa?,Causa de justificación que exime de responsabilidad penal ante una agresión ilegítima.
Derecho Público,¿Qué es el Derecho Público?,Conjunto de normas que regulan las relaciones entre el Estado y los particulares.
Derecho Público,¿Qué ramas comprende el Derecho Público?,"Derecho Constitucional, Penal, Administrativo, Procesal e Internacional Público."
Derecho Público,¿Cuál es la característica principal del Derecho Público?,La presencia del Estado como poder soberano.
Derecho Público,¿Qué diferencia al Derecho Público del Privado?,El interés general que protege el Derecho Público.
Derecho Público,¿Qué regula el Derecho Internacional Público?,Las relaciones entre Estados y organismos internacionales.
Derecho Público,¿Qué es el principio de legalidad?,La administración y el poder estatal solo pueden hacer lo que la ley permite.
Derecho Público,¿Qué es el ius puniendi?,El derecho del Estado a sancionar delitos.
Derecho Público,¿Qué es la función jurisdiccional?,La potestad del Estado para resolver conflictos.
Derecho Público,¿Qué es el interés público?,El bienestar general que prima sobre el interés individual.
Derecho Público,¿Qué es la competencia del Estado?,La facultad legal para intervenir en determinadas materias.
Derecho Público,¿Qué son los actos de gobierno?,Decisiones políticas que no se revisan judicialmente.
Derecho Público,¿Qué es la soberanía?,El poder supremo del Estado dentro de su territorio.
Derecho Público,¿Qué es el control judicial?,La fiscalización de los actos estatales por el Poder Judicial.
Derecho Público,¿Qué es la función administrativa?,Actividad del Estado dirigida a satisfacer necesidades colectivas.
Derecho Público,¿Qué es el Derecho Público interno?,El que regula la organización y funciones del Estado dentro del país.
Derecho Privado,¿Qué es el Derecho Privado?,Conjunto de normas que regulan las relaciones entre particulares.
Derecho Privado,¿Qué ramas incluye el Derecho Privado?,Derecho Civil y Comercial principalmente.
Derecho Privado,¿Qué regula el Derecho Civil?,"Relaciones entre personas, familia, bienes y sucesiones."
Derecho Privado,¿Qué regula el Derecho Comercial?,Actos de comercio y relaciones entre comerciantes.
Derecho Privado,¿Qué es un contrato?,Un acuerdo entre partes que genera obligaciones.
Derecho Privado,¿Qué es la capacidad jurídica?,La aptitud para ser titular de derechos y obligaciones.
Derecho Privado,¿Qué es la responsabilidad civil?,La obligación de reparar un daño causado.
Derecho Privado,¿Qué es una obligación?,El vínculo jurídico que obliga a una persona frente a otra.
Derecho Privado,¿Qué es el patrimonio?,"El conjunto de bienes, derechos y obligaciones de una persona."
Derecho Privado,¿Qué es una persona jurídica?,Un ente con capacidad legal distinta de las personas físicas.
Derecho Privado,¿Qué es el derecho de familia?,Regula las relaciones entre los miembros de una familia.
Derecho Privado,¿Qué es una sucesión?,El proceso legal de transferencia de bienes de una persona fallecida.
Derecho Privado,¿Qué es la propiedad?,"El derecho de usar, gozar y disponer de un bien."
Derecho Privado,¿Qué es el principio de autonomía de la voluntad?,La libertad de las personas para regular sus relaciones.
Derecho Privado,¿Qué es el derecho real?,"El que otorga poder directo sobre una cosa, como la propiedad."
Derecho Social,¿Qué es el Derecho Social?,Rama que protege a los sectores vulnerables y promueve la justicia social.
Derecho Social,¿Qué ramas incluye el Derecho Social?,"Derecho Laboral, de la Seguridad Social y Agrario."
Derecho Social,¿Qué es el Derecho Laboral?,Regula las relaciones entre empleadores y trabajadores.
Derecho Social,¿Qué es un contrato de trabajo?,El acuerdo por el cual una persona presta servicios a cambio de un salario.
Derecho Social,¿Qué es la jornada laboral?,El tiempo durante el cual el trabajador presta servicios.
Derecho Social,¿Qué es el salario mínimo?,La retribución mínima legal que debe percibir un trabajador.
Derecho Social,¿Qué es el Derecho de la Seguridad Social?,Garantiza protección ante situaciones como enfermedad o jubilación.
Derecho Social,¿Qué es el derecho a la huelga?,La facultad de los trabajadores de interrumpir sus labores para reclamar derechos.
Derecho Social,¿Qué es la estabilidad laboral?,Protección contra el despido arbitrario.
Derecho Social,¿Qué son los convenios colectivos?,Acuerdos entre empleadores y sindicatos que regulan condiciones laborales.
Derecho Social,¿Qué es el derecho sindical?,Regula la formación y actuación de los sindicatos.
Derecho Social,¿Qué es el despido con causa?,La extinción del contrato por incumplimiento grave del trabajador.
Derecho Social,¿Qué es el despido sin causa?,La extinción del contrato sin justificación legal.
Derecho Social,¿Qué es el derecho agrario?,Regula las relaciones jurídicas en el ámbito rural.
Derecho Social,¿Qué es el trabajo registrado?,El que está formalizado ante los organismos estatales correspondientes.
Derecho Constitucional,¿Qué es el bloque de constitucionalidad?,"Conjunto de normas con jerarquía constitucional, incluyendo tratados internacionales de derechos humanos."
Derecho Constitucional,¿Qué función cumple la Corte Suprema?,Es el máximo tribunal que interpreta la Constitución Nacional.
Derecho Constitucional,¿Qué es el control difuso de constitucionalidad?,Facultad de todos los jueces para declarar la inconstitucionalidad de normas.
Derecho Constitucional,¿Qué es la reforma constitucional?,El proceso para modificar total o parcialmente la Constitución.
Derecho Constitucional,¿Qué son los derechos de primera generación?,Derechos civiles y políticos fundamentales.
Derecho Constitucional,¿Qué son los derechos de segunda generación?,"Derechos económicos, sociales y culturales."
Derecho Constitucional,¿Qué son los tratados con jerarquía constitucional?,Convenios internacionales que tienen el mismo rango que la Constitución.
Derecho Constitucional,¿Qué es la supremacía constitucional?,Principio por el cual ninguna norma puede contradecir la Constitución.
Derecho Constitucional,¿Qué son las garantías constitucionales?,Mecanismos para proteger los derechos fundamentales.
Derecho Constitucional,¿Qué es la acción de amparo?,Recurso judicial para proteger derechos constitucionales vulnerados.
Derecho Administrativo,¿Qué es un acto administrativo?,Una declaración unilateral de la administración que produce efectos jurídicos.
Derecho Administrativo,¿Qué es el principio de legalidad administrativa?,La administración pública debe actuar conforme a la ley.
Derecho Administrativo,¿Qué es la función pública?,Conjunto de tareas desempeñadas por servidores públicos.
Derecho Administrativo,¿Qué es la responsabilidad del Estado?,Obligación de reparar los daños causados por su actuación ilegítima.
Derecho Administrativo,¿Qué es la vía administrativa?,Proceso interno antes de acudir al poder judicial.
Derecho Administrativo,¿Qué es la discrecionalidad administrativa?,Margen de libertad que tiene la administración para decidir.
Derecho Administrativo,¿Qué es la licitación pública?,Procedimiento para contratar bienes o servicios con transparencia.
Derecho Administrativo,¿Qué es el debido proceso administrativo?,Garantía de defensa en procedimientos ante la administración.
Derecho Administrativo,¿Qué son los recursos administrativos?,Medios para impugnar decisiones administrativas.
Derecho Administrativo,¿Qué es la revocación de actos administrativos?,La anulación de actos por la misma administración.
Derecho Penal,¿Qué es la autoría y participación?,Diferencia entre quien ejecuta el delito y quien colabora.
Derecho Penal,¿Qué es el tipo penal?,Descripción legal de una conducta delictiva.
Derecho Penal,¿Qué es la tentativa inidónea?,Intento de delito con medios ineficaces para lograrlo.
Derecho Penal,¿Qué es la inimputabilidad?,Incapacidad legal de ser penalmente responsable.
Derecho Penal,¿Qué es la punibilidad?,Posibilidad legal de imponer una pena.
Derecho Penal,¿Qué es el principio de proporcionalidad?,Las penas deben ser proporcionales al delito cometido.
Derecho Penal,¿Qué es el principio de mínima intervención?,El Derecho Penal solo debe aplicarse como último recurso.
Derecho Penal,¿Qué es la acción penal?,El derecho del Estado para perseguir un delito.
Derecho Penal,¿Qué es el juicio oral y público?,Etapa del proceso penal con publicidad y contradicción.
Derecho Penal,¿Qué es la prisión preventiva?,Medida cautelar para asegurar el proceso penal.
Derecho Público,¿Qué regula el Derecho Parlamentario?,El funcionamiento y organización del Congreso.
Derecho Público,¿Qué es el Derecho Municipal?,Rama que regula los municipios y gobiernos locales.
Derecho Público,¿Qué es el Derecho Electoral?,Normas que regulan las elecciones y partidos políticos.
Derecho Público,¿Qué es la responsabilidad política?,Control que se ejerce sobre los funcionarios electos.
Derecho Público,¿Qué es el Derecho Educativo?,Normas que rigen el sistema educativo estatal.
Derecho Público,¿Qué es el presupuesto público?,Plan económico anual del Estado.
Derecho Público,¿Qué es el Derecho Financiero?,Normas sobre ingresos y egresos del Estado.
Derecho Público,¿Qué es la fiscalización estatal?,Control del uso de fondos públicos.
Derecho Público,¿Qué es el poder de policía?,Facultad estatal para limitar derechos en función del interés general.
Derecho Público,¿Qué es la descentralización administrativa?,Distribución del poder estatal en diferentes niveles.
Derecho Privado,¿Qué es el Derecho Sucesorio?,Rama del Derecho Civil que regula la herencia.
Derecho Privado,¿Qué es el usufructo?,Derecho a usar y disfrutar un bien ajeno.
Derecho Privado,¿Qué es el comodato?,Préstamo gratuito de una cosa no fungible.
Derecho Privado,¿Qué es la prescripción adquisitiva?,Modo de adquirir derechos por el paso del tiempo.
Derecho Privado,¿Qué es la sociedad anónima?,Entidad jurídica cuyos accionistas limitan su responsabilidad.
Derecho Privado,¿Qué es el mutuo?,"Préstamo de cosas fungibles, generalmente dinero."
Derecho Privado,¿Qué es la fianza?,Garantía que asegura el cumplimiento de una obligación.
Derecho Privado,¿Qué es el contrato de arrendamiento?,Acuerdo por el cual se cede el uso de un bien a cambio de un precio.
Derecho Privado,¿Qué es el régimen patrimonial del matrimonio?,Normas que regulan los bienes entre cónyuges.
Derecho Privado,¿Qué es la acción de filiación?,Procedimiento para reconocer o impugnar un vínculo familiar.
Derecho Social,¿Qué es el salario vital y móvil?,Retribución suficiente para cubrir necesidades básicas.
Derecho Social,¿Qué es el trabajo en negro?,Relación laboral no registrada.
Derecho Social,¿Qué es la ART?,Aseguradora de Riesgos del Trabajo que cubre accidentes laborales.
Derecho Social,¿Qué es el sistema previsional?,Conjunto de normas para la jubilación y pensiones.
Derecho Social,¿Qué es la paritaria?,Negociación entre sindicatos y empleadores para fijar condiciones salariales.
Derecho Social,¿Qué es la licencia por maternidad?,Derecho de la trabajadora a ausentarse con goce de sueldo.
Derecho Social,¿Qué es el trabajo agrario?,Actividad laboral en el ámbito rural.
Derecho Social,¿Qué es el empleo público?,Relación laboral con el Estado.
Derecho Social,¿Qué es la seguridad e higiene laboral?,Conjunto de normas para proteger la salud del trabajador.
Derecho Social,¿Qué es el contrato por tiempo determinado?,Relación laboral con fecha de finalización prevista.
